time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
3.9,1.8435353,7.2209125,4.631583,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
3.99,0.878672,7.1610575,6.740875,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.07,0.878672,7.1610575,6.740875,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.16,0.93972415,6.35062,10.972627,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.25,0.93972415,6.35062,10.972627,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.33,0.93972415,6.35062,10.972627,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.42,1.6484078,5.687426,9.463082,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.5,1.6484078,5.687426,9.463082,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.59,3.3051953,7.5704656,4.8518496,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.67,3.3051953,7.5704656,4.8518496,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.75,3.3051953,7.5704656,4.8518496,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.83,3.0298622,7.249643,6.7253127,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.91,3.0298622,7.249643,6.7253127,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
4.99,2.067393,6.208165,7.839813,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
5.07,2.067393,6.208165,7.839813,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
5.15,2.067393,6.208165,7.839813,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
5.23,1.6316484,6.5565214,7.019799,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
5.32,1.6316484,6.5565214,7.019799,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
5.4,1.6316484,6.5565214,7.019799,2.4553506,1.7318015,-2.6103435,-1.0396981,-0.45806372,-0.30253512
5.49,2.0362685,6.5218053,6.457162,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
5.57,2.0362685,6.5218053,6.457162,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
5.66,1.958457,6.4008985,8.1319065,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
5.74,1.958457,6.4008985,8.1319065,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
5.83,1.958457,6.4008985,8.1319065,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
5.91,2.3127987,6.4008985,5.9603653,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
5.99,2.3127987,6.4008985,5.9603653,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.07,2.1930888,6.751649,5.535394,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.15,2.1930888,6.751649,5.535394,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.23,2.1930888,6.751649,5.535394,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.31,0.9756372,6.9012866,7.5932107,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.39,0.9756372,6.9012866,7.5932107,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.47,0.9756372,6.9012866,7.5932107,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
