time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
0.05,0.18674773,7.630321,5.5377884,-0.5010823,-0.2674632,-0.23474026,0.03089267,-0.015978966,-0.017044231
0.12,0.18674773,7.630321,5.5377884,-0.5010823,-0.2674632,-0.23474026,0.03089267,-0.015978966,-0.017044231
0.21,0.18674773,7.630321,5.5377884,-0.5010823,-0.2674632,-0.23474026,0.03089267,-0.015978966,-0.017044231
0.3,0.18674773,7.630321,5.5377884,-0.5010823,-0.2674632,-0.23474026,0.03089267,-0.015978966,-0.017044231
0.38,0.18674773,7.630321,5.5377884,-0.5010823,-0.2674632,-0.23474026,0.03089267,-0.015978966,-0.017044231
0.46,0.18674773,7.630321,5.5377884,-0.5010823,-0.2674632,-0.23474026,0.03089267,-0.015978966,-0.017044231
0.55,0.18674773,7.630321,5.5377884,-0.5010823,-0.2674632,-0.23474026,0.03089267,-0.015978966,-0.017044231
0.64,0.18674773,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
0.71,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
0.8,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
0.87,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
0.96,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.04,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.12,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.2,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.28,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.36,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.44,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.52,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.6,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.69,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.77,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.85,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
1.94,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.02,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.11,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.19,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.28,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.36,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.44,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.52,0.29209262,7.6829934,6.271611,-0.36865884,-0.24280453,0.53441525,-0.026631612,-0.011717909,-0.0010652645
2.6,0.36750996,7.6470804,6.5361705,-0.29224432,-0.26870108,0.78505325,0.004261058,0.0010652645,-0.0063915867
2.68,0.36750996,7.6470804,6.5361705,-0.29224432,-0.26870108,0.78505325,0.004261058,0.0010652645,-0.0063915867
2.76,0.36750996,7.6470804,6.5361705,-0.29224432,-0.26870108,0.78505325,0.004261058,0.0010652645,-0.0063915867
2.85,0.36750996,7.6470804,6.5361705,-0.29224432,-0.26870108,0.78505325,0.004261058,0.0010652645,-0.0063915867
2.94,0.36750996,7.6470804,6.5361705,-0.29224432,-0.26870108,0.78505325,0.004261058,0.0010652645,-0.0063915867
3.01,0.36750996,7.6470804,6.5361705,-0.29224432,-0.26870108,0.78505325,0.004261058,0.0010652645,-0.0063915867
