time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
0.256,0.3148,0.5623,0.7877,-0.069949418,0.101803787,-0.071330659,-0.01703559,-0.136284724,-0.021294488
0.256,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.01703559,-0.136284724,-0.021294488
0.256,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.023423936,-0.11818441,-0.015970865
0.256,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.025553387,-0.108601891,-0.008517795
0.257,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.02661811,-0.097954646,-0.005323622
0.257,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.021294488,-0.068142362,-0.001064724
0.259,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.015970865,-0.01703559,0
0.26,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.015970865,0.036200631,-0.001064724
0.26,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.013841418,0.081983782,0.001064724
0.26,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.01703559,0.11605496,0.002129449
0.26,0.3038,0.5672,0.7877,-0.069949418,0.101803787,-0.071330659,-0.01703559,0.11605496,0.002129449
0.261,0.3038,0.5672,0.7877,0.244623899,0.141400024,0.104538329,-0.01703559,0.11605496,0.002129449
0.316,0.3038,0.5672,0.7877,0.244623899,0.141400024,0.104538329,-0.01703559,0.11605496,0.002129449
0.335,0.2766,0.5599,0.8006,0.244623899,0.141400024,0.104538329,-0.01703559,0.11605496,0.002129449
0.336,0.2578,0.5509,0.8053,0.244623899,0.141400024,0.104538329,-0.01703559,0.11605496,0.002129449
0.336,0.2732,0.5619,0.7918,0.244623899,0.141400024,0.104538329,-0.01703559,0.11605496,0.002129449
0.336,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.01703559,0.11605496,0.002129449
0.336,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.024488661,0.11818441,-0.003194173
0.337,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.027682835,0.091566302,-0.00958252
0.337,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.021294488,0.048977323,-0.015970865
0.337,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.019165039,0.007453071,-0.015970865
